filename,label
97810659.jpg,dog
42816595.jpg,dog
10916048.jpg,ship
26309823.jpg,bird
63995474.jpg,cat
39853860.jpg,truck
99571396.jpg,bird
982707.jpg,frog
88653816.jpg,frog
15267865.jpg,deer
97526762.jpg,airplane
22892926.jpg,cat
65687903.jpg,automobile
72117548.jpg,ship
16736341.jpg,horse
75508638.jpg,truck
70812437.jpg,ship
88924063.jpg,bird
88489378.jpg,bird
14935366.jpg,automobile
65142810.jpg,airplane
11976495.jpg,ship
3959058.jpg,bird
30873063.jpg,cat
89639058.jpg,horse
46568121.jpg,truck
53926465.jpg,dog
686144.jpg,bird
39849838.jpg,bird
87004348.jpg,airplane
94406848.jpg,automobile
32356260.jpg,airplane
80152803.jpg,dog
54354692.jpg,cat
7579584.jpg,dog
13268600.jpg,deer
30087950.jpg,bird
83302510.jpg,airplane
38353343.jpg,dog
46726584.jpg,deer
1619620.jpg,ship
30449776.jpg,dog
3436770.jpg,truck
74822765.jpg,airplane
42772344.jpg,bird
94171823.jpg,dog
42958188.jpg,horse
44792658.jpg,truck
77626304.jpg,bird
98678745.jpg,airplane
90827734.jpg,automobile
78563703.jpg,cat
44000613.jpg,bird
34748641.jpg,ship
87804522.jpg,deer
57123680.jpg,truck
92134029.jpg,truck
34424051.jpg,airplane
60402809.jpg,bird
19356979.jpg,ship
11480952.jpg,cat
90270914.jpg,cat
17305133.jpg,bird
59130436.jpg,dog
96269113.jpg,cat
23974620.jpg,dog
79105558.jpg,airplane
43175559.jpg,ship
28946286.jpg,cat
7940798.jpg,horse
37136480.jpg,cat
30768066.jpg,deer
52206528.jpg,horse
13678182.jpg,cat
370357.jpg,automobile
55572727.jpg,horse
38205111.jpg,frog
55483912.jpg,truck
41380675.jpg,frog
98211504.jpg,horse
79793007.jpg,horse
28168077.jpg,truck
5252337.jpg,airplane
63611437.jpg,horse
83110812.jpg,dog
96220261.jpg,automobile
99540639.jpg,dog
3472126.jpg,cat
79644987.jpg,dog
61326173.jpg,ship
66827418.jpg,automobile
34865484.jpg,frog
21721455.jpg,ship
5137271.jpg,dog
73619417.jpg,ship
77292324.jpg,bird
76988687.jpg,bird
37927495.jpg,automobile
25941501.jpg,frog
9722094.jpg,airplane
83977985.jpg,airplane
34994469.jpg,automobile
71929950.jpg,bird
76486223.jpg,truck
40827643.jpg,deer
23706693.jpg,bird
31008186.jpg,automobile
57323638.jpg,deer
99564957.jpg,automobile
71571618.jpg,ship
46422996.jpg,truck
11829191.jpg,cat
980662.jpg,horse
1024936.jpg,airplane
12486867.jpg,cat
62011551.jpg,automobile
66591445.jpg,truck
78505492.jpg,ship
10663780.jpg,dog
84377882.jpg,cat
89298475.jpg,ship
19959526.jpg,ship
46710744.jpg,automobile
94788011.jpg,truck
52457528.jpg,cat
46153354.jpg,truck
58388438.jpg,airplane
58123777.jpg,frog
77627768.jpg,cat
35576358.jpg,ship
51535831.jpg,bird
40983687.jpg,bird
33357243.jpg,deer
50815299.jpg,truck
53171425.jpg,frog
2053750.jpg,dog
63687441.jpg,airplane
29506102.jpg,frog
26988537.jpg,airplane
63363530.jpg,truck
46595090.jpg,deer
5198492.jpg,airplane
2430982.jpg,horse
35668860.jpg,bird
32923993.jpg,horse
97856618.jpg,deer
11844427.jpg,bird
27157370.jpg,automobile
75839078.jpg,cat
68413854.jpg,airplane
62573889.jpg,automobile
52559277.jpg,horse
86674911.jpg,dog
69380828.jpg,cat
149208.jpg,bird
47141479.jpg,cat
45264776.jpg,dog
68231110.jpg,truck
3529888.jpg,dog
27910137.jpg,airplane
46327479.jpg,bird
99826653.jpg,cat
6889869.jpg,airplane
21777175.jpg,bird
87810225.jpg,airplane
3007028.jpg,automobile
54694899.jpg,horse
82281530.jpg,automobile
35583851.jpg,dog
20492240.jpg,truck
58057974.jpg,truck
62463318.jpg,airplane
6584734.jpg,ship
91997490.jpg,bird
77185810.jpg,ship
86418683.jpg,dog
77968472.jpg,bird
87941056.jpg,truck
35576370.jpg,ship
41193699.jpg,dog
1361222.jpg,bird
63776484.jpg,dog
71115633.jpg,frog
94317288.jpg,bird
981232.jpg,bird
21772025.jpg,truck
95966820.jpg,deer
68646147.jpg,cat
18575988.jpg,deer
58561943.jpg,ship
92963727.jpg,truck
24488937.jpg,airplane
85128795.jpg,ship
94131585.jpg,truck
45040644.jpg,deer
77206579.jpg,truck
57106372.jpg,airplane
55787528.jpg,airplane
64603916.jpg,airplane
8899126.jpg,dog
33548110.jpg,airplane
35503937.jpg,horse
33829173.jpg,automobile
31592273.jpg,bird
76206888.jpg,bird
84741651.jpg,airplane
94561145.jpg,deer
89145690.jpg,airplane
83184097.jpg,dog
9994059.jpg,ship
73479401.jpg,dog
97673917.jpg,bird
30697924.jpg,airplane
83439093.jpg,deer
78539425.jpg,ship
29370581.jpg,airplane
20283670.jpg,frog
83331858.jpg,airplane
18497919.jpg,truck
73524706.jpg,horse
9140304.jpg,automobile
28159296.jpg,ship
62149060.jpg,deer
34441839.jpg,ship
26394928.jpg,bird
93941877.jpg,ship
56789733.jpg,automobile
83297735.jpg,deer
32490120.jpg,ship
40481357.jpg,truck
19560074.jpg,horse
37609365.jpg,cat
30198858.jpg,frog
56253974.jpg,automobile
42516646.jpg,deer
534772.jpg,automobile
54818504.jpg,truck
48413017.jpg,horse
13528057.jpg,dog
22407152.jpg,cat
31476693.jpg,horse
65600850.jpg,bird
52670675.jpg,horse
47196309.jpg,airplane
60058066.jpg,dog
87907765.jpg,airplane
75340341.jpg,cat
38324691.jpg,ship
84775292.jpg,dog
42327818.jpg,airplane
87797747.jpg,ship
98951916.jpg,deer
91761051.jpg,cat
61748475.jpg,truck
56445395.jpg,frog
84106027.jpg,cat
29664071.jpg,horse
44285845.jpg,horse
1054221.jpg,cat
34143567.jpg,bird
32136276.jpg,bird
26510867.jpg,truck
99927565.jpg,ship
99169060.jpg,airplane
48216320.jpg,airplane
47680056.jpg,ship
95532620.jpg,bird
25353099.jpg,airplane
17918954.jpg,cat
19160297.jpg,dog
86136789.jpg,truck
23129417.jpg,bird
24228070.jpg,automobile
76214526.jpg,ship
97875943.jpg,cat
75834206.jpg,automobile
72716343.jpg,dog
76299164.jpg,cat
64669503.jpg,airplane
61719148.jpg,truck
92933662.jpg,dog
33670423.jpg,dog
36902528.jpg,ship
361272.jpg,truck
6754963.jpg,deer
36897057.jpg,ship
77925200.jpg,bird
76750839.jpg,ship
18837698.jpg,automobile
88551049.jpg,deer
48401407.jpg,dog
20201115.jpg,ship
5205247.jpg,bird
65771717.jpg,airplane
85415185.jpg,horse
53207537.jpg,airplane
80611591.jpg,automobile
2748665.jpg,ship
51491611.jpg,airplane
35941155.jpg,automobile
45485923.jpg,cat
27781551.jpg,truck
22008082.jpg,airplane
13897984.jpg,airplane
55668089.jpg,ship
71949040.jpg,cat
881232.jpg,frog
90350346.jpg,dog
93273965.jpg,bird
21839165.jpg,horse
4939723.jpg,truck
98238800.jpg,ship
41268487.jpg,deer
22664471.jpg,automobile
97517597.jpg,truck
6683791.jpg,dog
84268752.jpg,cat
50067059.jpg,horse
65549542.jpg,frog
34072976.jpg,deer
29939035.jpg,horse
47970794.jpg,horse
58166217.jpg,truck
39502730.jpg,airplane
94816988.jpg,airplane
46213092.jpg,automobile
25356687.jpg,ship
47346386.jpg,dog
23391724.jpg,deer
43219407.jpg,bird
23239864.jpg,airplane
72966295.jpg,deer
97198535.jpg,horse
32198953.jpg,frog
71075879.jpg,frog
70044755.jpg,automobile
53765637.jpg,dog
71050409.jpg,dog
86813439.jpg,cat
19204965.jpg,deer
74572295.jpg,automobile
22382317.jpg,truck
35208387.jpg,dog
84845006.jpg,bird
65288637.jpg,cat
94900898.jpg,bird
36757656.jpg,airplane
61016034.jpg,cat
21512769.jpg,cat
64449119.jpg,airplane
58858587.jpg,automobile
82209036.jpg,dog
28560192.jpg,ship
79504314.jpg,truck
8903795.jpg,dog
6465535.jpg,automobile
4953277.jpg,horse
90197892.jpg,frog
60738522.jpg,airplane
45727309.jpg,horse
61674367.jpg,automobile
93757403.jpg,deer
16416954.jpg,deer
87744286.jpg,horse
18138458.jpg,automobile
50920587.jpg,airplane
2033073.jpg,horse
75091749.jpg,dog
56546677.jpg,truck
93807611.jpg,truck
71972983.jpg,airplane
92925955.jpg,truck
16274434.jpg,airplane
82463739.jpg,airplane
40338600.jpg,dog
73418014.jpg,deer
82361407.jpg,horse
37638621.jpg,airplane
11306011.jpg,horse
39832291.jpg,cat
86510552.jpg,automobile
88142229.jpg,truck
17827583.jpg,bird
14860398.jpg,automobile
62743931.jpg,automobile
72358230.jpg,automobile
56393205.jpg,bird
53548084.jpg,automobile
5326461.jpg,airplane
478587.jpg,dog
40031844.jpg,deer
34151836.jpg,dog
94355044.jpg,frog
59157308.jpg,bird
56448128.jpg,deer
87498433.jpg,airplane
17261476.jpg,truck
69836421.jpg,automobile
46833209.jpg,dog
75050115.jpg,dog
23882607.jpg,automobile
40831948.jpg,frog
28682622.jpg,truck
40783507.jpg,frog
68974249.jpg,horse
36384174.jpg,airplane
6341814.jpg,deer
53163948.jpg,cat
76199651.jpg,ship
74809523.jpg,bird
25865312.jpg,dog
93460217.jpg,automobile
79397055.jpg,bird
3925420.jpg,ship
11346353.jpg,truck
20040668.jpg,dog
70202021.jpg,horse
42975967.jpg,deer
13428902.jpg,automobile
65689053.jpg,ship
71129653.jpg,ship
67758517.jpg,cat
18105901.jpg,ship
65710316.jpg,dog
24064229.jpg,horse
51698114.jpg,truck
20520419.jpg,cat
20716107.jpg,automobile
42333892.jpg,automobile
41244838.jpg,dog
22426163.jpg,bird
26687590.jpg,bird
56768240.jpg,ship
42151705.jpg,airplane
42437105.jpg,bird
18377485.jpg,ship
14193308.jpg,frog
4999218.jpg,bird
89100455.jpg,frog
42394393.jpg,horse
94918782.jpg,bird
52919219.jpg,frog
93884518.jpg,cat
88799110.jpg,truck
53702121.jpg,deer
86863653.jpg,dog
90363767.jpg,bird
81699369.jpg,airplane
54585723.jpg,truck
1591361.jpg,dog
64159102.jpg,automobile
64502483.jpg,frog
70836230.jpg,automobile
38067089.jpg,bird
76651272.jpg,airplane
83980470.jpg,deer
68796831.jpg,airplane
84693930.jpg,truck
4391928.jpg,truck
88590832.jpg,horse
42192982.jpg,cat
18946934.jpg,horse
97288761.jpg,horse
65824482.jpg,bird
52368554.jpg,airplane
98678792.jpg,automobile
82833587.jpg,airplane
22569112.jpg,horse
35406668.jpg,automobile
16143234.jpg,dog
50154478.jpg,deer
78066329.jpg,dog
61515721.jpg,bird
92467645.jpg,bird
83471766.jpg,airplane
85038579.jpg,ship
20500905.jpg,truck
13725534.jpg,frog
18963544.jpg,automobile
86536581.jpg,ship
13119096.jpg,airplane
46098794.jpg,dog
23850033.jpg,automobile
29979388.jpg,truck
75528259.jpg,dog
92765954.jpg,dog
